User full name,Year,NoIP,Created,Deleted,Downloaded,Ended,Reset,Shown,Started,Submitted,Updated,Uploaded,Viewed,Holiday,Week 01,Week 02,Week 03,Week 04,Week 05,Week 06,Week 07,Week 08,Week 09,Week 10,Week 11,Week 12,Week 13,Week 14,Mean events,Max events,Min events,Total events,1st half sem,2nd half sem,Visit days,Events,Day events min,Day events max,Weekend days,Class days,Out days,Afternoon,Evening,Morning,Night,Class,Out,Frequency,Recency,T
9800,2019,9,3,,,1,,3,2,3,,3,166,,11,25,3,,8,2,4,6,3,,12,13,34,60,15.08333333,60,2,181,53,128,20,181,1,30,2,11,11,96,15,20,50,99,82,19,101,103
9836,2019,15,5,,,1,,1,3,5,1,5,200,3,6,21,2,,9,22,6,3,3,3,16,29,33,65,16.76923077,65,2,218,66,152,25,221,2,36,5,11,15,97,53,28,43,103,118,24,103,104
9749,2019,9,4,,,1,,,1,5,1,5,178,,2,20,4,3,4,2,3,,5,2,2,47,24,77,15,77,2,195,38,157,19,195,2,45,1,11,10,25,116,3,51,81,114,18,99,101
9824,2019,4,4,,,1,,2,4,4,,4,141,,9,24,3,3,3,29,4,,4,,6,30,12,33,13.33333333,33,3,160,75,85,20,160,2,30,2,10,10,113,12,,35,105,55,19,99,100
9736,2019,7,5,,,1,,1,3,5,,5,170,,5,4,30,5,4,28,2,5,6,2,3,19,49,28,13.57142857,49,2,190,78,112,25,190,1,27,3,13,15,122,30,14,24,108,82,24,98,102
9789,2019,24,4,,1,1,,,2,5,1,5,334,,6,22,44,9,9,68,5,8,4,4,24,57,74,19,25.21428571,74,4,353,163,190,35,353,1,40,5,13,27,143,75,7,128,106,247,34,99,102
9741,2019,19,4,,,,,,2,5,2,5,381,6,22,25,20,4,17,46,19,14,6,19,17,61,99,24,28.07142857,99,4,393,153,240,36,399,2,57,8,12,28,162,79,17,141,108,291,35,101,102
9731,2019,26,3,,,1,,1,3,3,,3,459,2,51,19,16,12,24,79,20,3,6,3,36,34,147,21,33.64285714,147,3,471,221,250,50,473,1,46,14,7,48,206,136,5,126,72,401,49,104,104
9759,2019,31,4,,1,1,,2,2,5,2,5,161,,10,15,2,3,7,28,6,3,6,2,2,8,15,76,13.07142857,76,2,183,71,112,27,183,1,36,6,3,26,86,72,3,22,22,161,26,102,104
9842,2019,54,4,,1,1,,1,2,4,,4,539,37,48,41,13,23,27,71,9,15,13,20,55,29,57,98,37.07142857,98,9,519,232,287,53,556,1,51,11,7,52,73,249,62,172,81,475,52,103,104
9772,2019,10,2,,,,,,1,2,,2,109,,5,3,14,4,12,2,3,,3,,15,29,2,24,9.666666667,29,2,116,43,73,17,116,1,29,0,9,9,65,10,4,37,61,55,16,97,100
9844,2019,20,4,,1,2,,1,3,7,5,7,376,,86,15,15,9,16,73,6,7,3,3,28,40,75,30,29,86,3,406,220,186,36,406,1,46,6,12,31,83,174,41,108,125,281,35,99,104
9760,2019,11,2,,,1,,1,1,3,1,3,124,,,,18,6,,8,,,2,,10,24,13,55,17,55,2,136,32,104,18,136,1,26,3,5,14,39,56,19,22,70,66,17,87,87
7175,2019,8,3,,,1,,1,3,3,1,3,155,,8,14,2,5,10,41,5,4,3,4,17,26,26,5,12.14285714,41,2,170,85,85,21,170,1,26,1,12,11,102,16,,52,86,84,20,97,102
9770,2019,18,4,,,1,,6,8,4,,4,176,,7,11,20,,2,42,14,,5,,28,30,11,33,18.45454545,42,2,203,96,107,28,203,1,27,0,10,19,91,37,2,73,85,118,27,98,100
9831,2019,15,3,,1,4,,1,4,3,,3,361,,5,11,35,12,8,94,13,1,7,,33,85,34,42,29.23076923,94,1,380,178,202,44,380,1,46,6,10,38,106,77,29,168,79,301,43,97,100
9776,2019,12,3,,,1,,3,2,3,,3,82,,7,3,13,4,4,27,6,,3,,6,,12,12,8.818181818,27,3,97,64,33,18,97,2,22,0,10,9,54,12,10,21,55,42,17,97,100
9777,2019,8,3,,1,2,,1,2,3,,3,269,,7,37,19,14,13,12,7,8,3,,11,72,39,42,21.84615385,72,3,284,109,175,28,284,1,38,7,10,23,106,70,30,78,82,202,27,98,100
9780,2019,12,3,,,2,,1,3,3,,3,204,,6,17,2,4,12,49,7,,3,,6,48,43,22,18.25,49,2,219,97,122,33,219,1,19,7,10,26,75,51,23,70,65,154,32,98,100
9738,2019,16,4,,,1,,,2,5,1,5,468,,34,31,13,6,9,86,9,27,4,3,38,91,76,59,34.71428571,91,3,486,188,298,44,486,1,47,10,12,36,171,83,14,218,108,378,43,100,102
9729,2019,40,3,,1,2,,1,3,3,,3,276,,25,3,2,18,26,70,11,7,5,4,26,,32,63,22.46153846,70,2,292,155,137,28,292,2,42,7,11,18,76,106,,110,85,207,27,102,104
9817,2019,14,3,,,1,,1,5,4,1,4,174,,21,4,3,3,5,74,8,,3,2,4,47,13,6,14.84615385,74,2,193,118,75,27,193,1,34,5,12,19,8,131,2,52,98,95,26,100,101
9728,2019,13,2,,2,1,,1,1,3,1,3,205,,6,20,3,3,7,13,5,,7,3,27,,55,70,18.25,70,3,219,57,162,21,219,1,38,1,10,12,61,76,16,66,71,148,20,101,104
9773,2019,7,4,,,,,,2,5,3,5,135,,11,25,22,6,4,27,6,,,,3,21,6,23,14,27,3,154,101,53,20,154,1,25,1,10,12,99,15,1,39,91,63,19,98,100
9775,2019,15,2,,1,1,,1,1,3,1,3,171,,9,6,24,9,5,5,3,,5,,5,2,13,98,15.33333333,98,2,184,61,123,18,184,1,54,2,9,11,94,21,26,43,92,92,17,98,100
5060,2019,15,5,,,1,,1,3,7,2,7,307,,,5,35,,,64,20,2,4,13,39,28,24,99,30.27272727,99,2,333,124,209,27,333,1,58,3,9,24,98,112,80,43,139,194,26,93,94
9801,2019,13,3,,,2,,1,3,3,,3,123,,6,2,12,4,3,32,5,3,5,3,14,,35,14,10.61538462,35,2,138,64,74,21,138,1,32,0,11,11,101,26,,11,74,64,20,98,103
9733,2019,11,3,,,1,,2,3,3,,3,124,,8,8,24,4,5,45,7,,2,,4,19,7,6,11.58333333,45,2,139,101,38,20,139,2,25,1,10,10,77,9,4,49,73,66,19,95,100
